sa_pbpt_net_of_peoi_pc_avg_capital_employed,PBPT net of P&E&OI as % of capital employed,(%),,
sa_pat_net_of_pe_pc_avg_capital_employed,Return on capital employed,(%),,
sa_pat_pc_avg_capital_employed,PAT as % of capital employed,(%),,
sa_pat_net_of_pe_pc_avg_tot_asset_net_menow_reval,Return on total assets,(%),,
sa_pc_chg_in_profitability_with_no_chg_in_income,Share (%) of change in profitability of income in change in PAT net of P&E,(%),,
sa_st_trade_bills_receivables_pc_current_assets_incl_st_invest_loans,Trade receivables & bills receivables to current assets,(%),,
sa_quick_ratio,Quick ratio (times),Times,,
sa_current_ratio,Current ratio (times),Times,,
sa_debt_equity,Debt to equity ratio (times),Times,,
sa_cash_n_bank_no_fd_security_current_liab_n_prov,Cash to current liabilities (times),Times,,
sa_cash_n_bank_no_fd_security_cost_of_sales_per_day,Cash to average cost of sales per day,Days,,
sa_rawmat_stores_spares_avg_stk_rawmat_stores,Raw material turnover (times),Times,,
sa_wip_turnover,WIP turnover (times),Times,,
sa_cost_of_goods_sold_avg_stk_fg,Finished goods turnover (times),Times,,
sa_sales_avg_debtors,Debtors turnover (times),Times,,
sa_creditors_turnover,Creditors turnover (times),Times,,
sa_total_inc_net_of_pe_compensation_to_empl,Employees utilisation ratio(times),Times,,
sa_sales_avg_gfa_net_of_reval,Gross fixed assets utilisation ratio(times),Times,,
sa_sales_net_repairs_avg_nfa_net_of_reval,Net fixed asstes utilisation ratio(times),Times,,
