,co_code,co_stkdate,company_name,equity_facevalue_on_stkdate,eps_on_stkdate,equity_bv_on_stkdate,high_price,stock_returns,market_cap,pe,pb,traded_qty
21,400,2015,A B L BIOTECHNOLOGIES LTD.,10.0,-0.1829,143.2,4.9,1.05,38.294000000000004,,0.2674,126113.0
22,400,2016,A B L BIOTECHNOLOGIES LTD.,10.0,-0.1585,142.2,0.96,1.0395,7.872000000000001,,0.0554,40210.0
23,414,2016,A B M INTERNATIONAL LTD.,10.0,4.949,175.7,111.0,1.05,217.56,37.975,1.2598,100.0
24,414,2017,A B M INTERNATIONAL LTD.,10.0,4.898,176.8,213.6,1.05,2287.32,508.2933,13.1003,4226.0
25,414,2018,A B M INTERNATIONAL LTD.,10.0,0.1616,172.4,72.2,1.05,809.0880000000001,540.225,4.8594,4811.0
26,415,2014,A B M KNOWLEDGEWARE LTD.,10.0,16.9681,838.7,178.9,1.2,1704.1874,10.2848,2.1415,139253.0
27,415,2015,A B M KNOWLEDGEWARE LTD.,10.0,17.2681,988.3,315.0,1.1999,2819.3101,16.6037,2.9789999999999996,120148.0
28,415,2016,A B M KNOWLEDGEWARE LTD.,10.0,17.6081,1097.8,315.0,1.1561,3424.3766,18.8256,3.1193,298466.0
29,415,2017,A B M KNOWLEDGEWARE LTD.,5.0,9.8889,1418.4,176.0,1.0759,3400.3740000000003,17.191,2.9425,134091.0
30,415,2018,A B M KNOWLEDGEWARE LTD.,5.0,7.2592,1493.2,142.0,1.119,2711.2982,18.6729,1.8757,121094.0
31,612,2014,A C E EDUTREND LTD.,10.0,1.2772,152.1,57.9,1.2,466.7479,43.6213,3.3197,1899899.0
32,612,2015,A C E EDUTREND LTD.,10.0,1.0261,152.1,6.01,1.0997,52.492,4.4635,0.3914,397130.0
33,612,2016,A C E EDUTREND LTD.,10.0,-0.7205,144.4,3.41,1.05,31.2387,,0.2163,61807.0
34,612,2017,A C E EDUTREND LTD.,10.0,-0.6113,134.6,2.45,1.05,21.9862,,0.1774,82985.0
35,612,2018,A C E EDUTREND LTD.,10.0,-0.7314,127.9,2.4,1.05,21.5281,,0.1886,30211.0
36,666,2014,A C I INFOCOM LTD.,1.0,0.0235,162.4,7.58,1.1947,826.4719,590.3371,5.1719,2439616.0
37,666,2015,A C I INFOCOM LTD.,1.0,0.0235,163.0,12.0,1.1067,1270.6454,3176.6134,7.8387,1010758.0
38,666,2016,A C I INFOCOM LTD.,1.0,0.0036,163.0,10.75,1.1922,1049.6635,10496.6355,6.4794,224540.0
39,666,2017,A C I INFOCOM LTD.,1.0,0.0217,164.8,12.2,1.0956,1304.8975,7789.6084,7.947,2704922.0
40,666,2018,A C I INFOCOM LTD.,1.0,0.0235,165.8,10.1,1.0526,1104.9089999999999,424.965,6.6722,597500.0
41,771,2014,CEINSYS TECH LTD.,10.0,7.9581,313.0,76.55,1.1285,669.987,9.2925,2.1405,813000.0
42,771,2015,CEINSYS TECH LTD.,10.0,7.9581,406.0,81.5,1.1111,738.39,11.2559,1.9951,72000.0
43,771,2016,CEINSYS TECH LTD.,10.0,8.2422,465.2,126.0,1.1709,1097.8517,15.934000000000001,2.36,231000.0
44,771,2017,CEINSYS TECH LTD.,10.0,11.7309,695.5,206.0,1.1429,2133.0447,44.6244,3.5579,295500.0
45,771,2018,CEINSYS TECH LTD.,10.0,4.3974,723.1,248.0,1.1628,2609.3878,113.7481,3.6086,82606.0
46,783,2014,A D F FOODS LTD.,10.0,6.3545,1759.9,86.0,1.1472,1765.5,12.8681,1.0402,7272330.0
47,783,2015,A D F FOODS LTD.,10.0,6.3818,1868.1,104.15,1.1333,2246.2,19.268,1.2202,1036720.0
48,783,2016,A D F FOODS LTD.,10.0,7.1775,1932.6,190.25,1.1789,3889.408,28.7465,2.0789,2666878.0
49,783,2017,A D F FOODS LTD.,10.0,7.1127,2054.7,347.5,1.1589,7071.7473,55.192,3.4417,5348640.0
50,783,2018,A D F FOODS LTD.,10.0,11.7367,2231.2,322.7,1.1132,6678.4602,46.4427,3.1816,1260276.0
51,830,2014,A D S DIAGNOSTIC LTD.,10.0,0.1824,21.0,11.34,1.0,24.8664,62.1659,1.1841,100.0
52,912,2014,A F ENTERPRISES LTD.,10.0,0.05,28.4,442.0,1.2,1764.0,13200.0,62.1127,2114.0
53,912,2015,A F ENTERPRISES LTD.,10.0,0.075,28.6,648.0,1.0996,2178.0,7260.0,76.4211,267781.0
54,912,2016,A F ENTERPRISES LTD.,10.0,0.075,28.9,52.85,1.0973,211.4,1057.0,7.3659,276986.0
55,912,2017,A F ENTERPRISES LTD.,10.0,3.075,41.2,8.0,1.0606,31.2,138.6,1.2376,150417.0
56,912,2018,A F ENTERPRISES LTD.,10.0,-3.125,17.3,5.96,1.0442,23.84,,1.8061,7040.0
57,1120,2014,A I A ENGINEERING LTD.,2.0,37.4002,15711.4,1238.0,1.1129,114009.7472,32.691,7.7069,3003134.0
58,1120,2015,A I A ENGINEERING LTD.,2.0,55.7133,20159.7,1364.2,1.0953,122201.4714,34.6415,7.7779,423419.0
59,1120,2016,A I A ENGINEERING LTD.,2.0,65.2987,21981.8,1357.0,1.0696,125941.274,26.0064,5.768,408997.0
60,1120,2017,A I A ENGINEERING LTD.,2.0,51.0685,25861.6,1709.75,1.0685,157967.7557,36.3295,6.4657,741429.0
61,1120,2018,A I A ENGINEERING LTD.,2.0,52.0418,28657.6,1887.0,1.0535,172120.5272,35.4687,6.0061,3135822.0
62,1144,2016,A INFRASTRUCTURE LTD.,10.0,4.4553,483.0,38.65,1.05,412.0641,2.8056,0.8859999999999999,500.0
63,1144,2017,A INFRASTRUCTURE LTD.,10.0,0.0375,461.4,99.95,1.05,1065.6094,2664.0236,2.3095,1487.0
64,1144,2018,A INFRASTRUCTURE LTD.,10.0,1.8103,485.9,149.35,1.05,1592.2838,1769.2042,3.6596,4080.0
65,1317,2014,A K CAPITAL SERVICES LTD.,10.0,40.5606,3178.5,302.45,1.1209,1928.19,9.3829,0.6337,32321.0
66,1317,2015,A K CAPITAL SERVICES LTD.,10.0,29.197,3298.9,356.9,1.1054,2259.18,12.3588,0.7119,66832.0
67,1317,2016,A K CAPITAL SERVICES LTD.,10.0,30.0455,3424.5,349.0,1.1127,2203.08,11.1098,0.6433,58158.0
68,1317,2017,A K CAPITAL SERVICES LTD.,10.0,44.1212,3699.2,635.0,1.1999,4078.14,15.5255,1.1184,148029.0
69,1317,2018,A K CAPITAL SERVICES LTD.,10.0,41.2727,3783.3,665.0,1.145,4239.51,16.8919,1.1274,26209.0
70,1464,2014,S M S TECHSOFT (INDIA) LTD.,1.0,-0.0003,343.6,0.14,1.2,49.0801,,0.4742,7354186.0
71,1464,2015,S M S TECHSOFT (INDIA) LTD.,1.0,-0.0009,103.3,0.09,1.2,31.5515,,0.3054,4822775.0
72,1621,2015,A K SPINTEX LTD.,10.0,1.4707,113.8,39.35,1.2,197.9994,26.7567,1.7399,1050.0
73,1621,2016,A K SPINTEX LTD.,10.0,4.253,136.0,65.9,1.05,329.8312,29.6012,2.745,5699.0
74,1621,2017,A K SPINTEX LTD.,10.0,4.0543,155.2,84.35,1.05,424.4281,21.8777,2.8352,9450.0
75,1621,2018,A K SPINTEX LTD.,10.0,6.6776,183.3,55.05,1.05,276.9978,14.655999999999999,1.7269,7425.0
76,2015,2014,A N G INDUSTRIES LTD.,10.0,-2.213,890.1,45.6,1.1340000000000001,707.1555,,0.8312,346111.0
77,2015,2015,A N G INDUSTRIES LTD.,10.0,2.9894,872.7,60.2,1.2,934.829,42.6863,1.0712,1693702.0
78,2015,2016,A N G INDUSTRIES LTD.,10.0,2.9894,759.6,57.5,1.2,895.4085,18.6156,14.4982,5351549.0
79,2015,2017,A N G INDUSTRIES LTD.,10.0,-41.4419,-50.1,13.49,1.2,206.7565,,,563318.0
80,2015,2018,A N G INDUSTRIES LTD.,10.0,-16.849,-707.5,8.44,1.05,123.2494,,,88543.0
81,2080,2014,A N S INDS. LTD.,10.0,0.7671,154.4,19.0,1.05,175.8564,73.8012,1.2358,2000.0
82,2080,2015,A N S INDS. LTD.,10.0,0.389,145.9,27.1,1.0477,241.1084,63.3751,1.7392,1225.0
83,2080,2016,A N S INDS. LTD.,10.0,0.94,,30.0,1.0467,277.668,185.112,,200.0
84,2080,2017,A N S INDS. LTD.,10.0,0.1405,,34.0,1.0484,300.807,213.5908,,500.0
85,2080,2018,A N S INDS. LTD.,10.0,-0.2377,,23.6,1.0,218.4322,,,1500.0
86,2248,2014,A P M INDUSTRIES LTD.,2.0,11.1608,1170.1,43.0,1.128,911.9994,4.9326,0.852,165937.0
87,2248,2015,A P M INDUSTRIES LTD.,2.0,8.7269,1291.9,64.1,1.1344,1346.3877,7.7621,1.0848,308368.0
88,2248,2016,A P M INDUSTRIES LTD.,2.0,9.1017,1352.1,76.85,1.0882,1594.9184,8.429,1.1821,162280.0
89,2248,2017,A P M INDUSTRIES LTD.,2.0,7.7367,1853.3,84.4,1.1995,1708.378,15.0784,1.0795,370194.0
90,2248,2018,A P M INDUSTRIES LTD.,2.0,5.3814,1908.7,74.9,1.1132,1577.6293,24.131999999999998,0.8385,126016.0
91,2384,2014,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,10.0,-3.7037,357.7,159.9,1.1743,917.4816,,3.0512,85178.0
92,2384,2015,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,10.0,-3.6045,309.4,209.9,1.1274,1244.0736,,4.0209,79953.0
93,2448,2016,A R C FINANCE LTD.,10.0,-0.0812,508.7,13.12,1.048,661.4845,,1.3003,500.0
94,2448,2017,A R C FINANCE LTD.,10.0,0.0297,509.8,23.5,1.05,1166.4345,777.623,2.2880000000000003,1228016.0
95,2448,2018,A R C FINANCE LTD.,10.0,0.2812,522.6,5.4,1.05,271.6631,142.7325,0.5339,291000.0
96,2513,2014,A R I CONSOLIDATED INVSTS. PVT. LTD.,100.0,263.4088,90.5,108.75,1.0497,6.7296,0.4129,0.0744,1.0
97,2717,2014,DISH T V INDIA LTD.,1.0,-0.0443,-1703.2,69.1,1.0725,72953.0442,,,31952505.0
98,2717,2015,DISH T V INDIA LTD.,1.0,3.3926,-82.6,121.85,1.1421,128737.4666,505.3903,,71852607.0
99,2717,2016,DISH T V INDIA LTD.,1.0,3.7838,2303.5,109.9,1.0964,111702.6347,33.2345,94.818,26363228.0
100,2717,2017,DISH T V INDIA LTD.,1.0,2.4657,2754.2,111.0,1.0833,116990.0873,200.7277,42.8786,81483823.0
101,2717,2018,DISH T V INDIA LTD.,1.0,2.3271,5986.7,87.0,1.0852,148406.397,453.7034,38.6535,94831948.0
102,2773,2014,ANIL SPECIAL STEEL INDS. LTD.,10.0,0.5006,516.9,7.45,1.0959999999999999,181.5597,14.1844,0.3633,145718.0
103,2773,2015,ANIL SPECIAL STEEL INDS. LTD.,10.0,-10.7423,292.5,4.24,1.05,106.8901,,3.1175,25127.0
104,2773,2016,ANIL SPECIAL STEEL INDS. LTD.,10.0,-8.6619,17.8,2.38,1.05,59.0708,,3.2611,20046.0
105,2773,2017,ANIL SPECIAL STEEL INDS. LTD.,10.0,-6.5932,,1.59,1.0483,40.6591,,,8100.0
106,2842,2014,A S M TECHNOLOGIES LTD.,10.0,20.68,491.3,230.0,1.1794,1091.5,10.9588,2.4512,32331.0
107,2842,2015,A S M TECHNOLOGIES LTD.,10.0,23.24,573.0,228.7,1.1994,1093.0,11.0181,2.2247,90166.0
108,2842,2016,A S M TECHNOLOGIES LTD.,10.0,23.24,599.5,219.9,1.1975,1032.5,8.8855,1.8019,64769.0
109,2842,2017,A S M TECHNOLOGIES LTD.,10.0,14.02,615.5,148.0,1.0784,709.5,10.1213,1.2729,14004.0
110,2842,2018,A S M TECHNOLOGIES LTD.,10.0,12.84,567.5,187.9,1.1606,867.5,20.6044,1.5286,76259.0
111,3052,2014,A T N INTERNATIONAL LTD.,4.0,-0.2357,57.8,0.95,1.3333,37.4775,,0.7907,121097.0
112,3052,2015,A T N INTERNATIONAL LTD.,4.0,0.1267,49.7,0.45,1.25,17.7525,11.835,0.3896,42768.0
113,3052,2016,A T N INTERNATIONAL LTD.,4.0,0.1267,45.1,0.64,1.2,25.248,3.945,0.5636,105500.0
114,3052,2017,A T N INTERNATIONAL LTD.,4.0,-0.1496,39.2,0.4,1.3333,15.78,,0.4026,268027.0
115,3052,2018,A T N INTERNATIONAL LTD.,4.0,-0.109,30.3,0.2,1.0,7.89,,0.2702,10010.0
116,3083,2014,A T V PROJECTS INDIA LTD.,10.0,0.4142,-2366.5,5.38,1.05,273.0236,18.1082,,92254.0
117,3083,2015,A T V PROJECTS INDIA LTD.,10.0,1.5212,-1425.2,11.5,1.05,591.1969,19.0136,,254496.0
118,3083,2016,A T V PROJECTS INDIA LTD.,10.0,2.7449,-1384.2,10.5,1.0499,549.7653,6.803999999999999,,86978.0
119,3083,2017,A T V PROJECTS INDIA LTD.,10.0,2.3966,1108.4,11.67,1.05,618.2868,24.1088,0.5608,270914.0
120,3083,2018,A T V PROJECTS INDIA LTD.,10.0,0.3841,1794.0,14.3,1.0499,738.8634,36.2188,0.66,194998.0
121,3149,2014,TAVERNIER RESOURCES LTD.,10.0,0.6523,80.6,32.55,1.05,191.02900000000002,48.9818,2.9434,20000.0
122,3149,2015,TAVERNIER RESOURCES LTD.,10.0,4.1311,83.5,22.1,1.05,132.1359,478.32,2.1949,40850.0
123,3149,2016,TAVERNIER RESOURCES LTD.,10.0,3.3618,83.5,15.7,1.05,93.8703,10.238,1.1242,10254.0
124,3149,2017,TAVERNIER RESOURCES LTD.,10.0,1.0704,87.1,13.9,1.05,83.1081,19.6847,1.016,4100.0
125,3149,2018,TAVERNIER RESOURCES LTD.,10.0,1.7561,94.8,20.6,1.05,123.1674,12.7923,1.2992,2107.0
126,3194,2014,A V I PRODUCTS INDIA LTD.,10.0,1.6379,14.0,35.15,1.0,122.3247,61.6263,13.0133,300.0
127,3194,2015,A V I PRODUCTS INDIA LTD.,10.0,1.8199,12.5,8.92,1.0494,9.3127,4.2860000000000005,0.8241,1700.0
128,3194,2016,A V I PRODUCTS INDIA LTD.,10.0,2.9693,15.9,19.8,1.05,20.6716,7.9506,1.4062,3045.0
129,3194,2017,A V I PRODUCTS INDIA LTD.,10.0,-0.8621,15.1,22.45,1.05,23.4383,,1.8731,500.0
130,3194,2018,A V I PRODUCTS INDIA LTD.,10.0,3.1609,13.5,33.0,1.05,34.4527,29.897,2.5521,1000.0
131,3196,2015,A V I POLYMERS LTD.,10.0,0.0489,29.3,5.05,1.0,20.658,103.2902,0.7051,100.0
132,3196,2016,A V I POLYMERS LTD.,10.0,0.1711,29.5,7.23,1.0498,29.5758,295.7576,1.0163,1.0
133,3196,2017,A V I POLYMERS LTD.,10.0,-0.0489,29.3,9.19,1.0491,37.5935,,1.2831,1.0
134,3335,2014,A V T NATURAL PRODUCTS LTD.,1.0,3.3864,1977.2,55.0,1.1579,8284.2496,17.1724,4.4642,1465154.0
135,3335,2015,A V T NATURAL PRODUCTS LTD.,1.0,2.3601,2111.4,45.5,1.138,6677.6534,30.1202,3.3475,584338.0
136,3335,2016,A V T NATURAL PRODUCTS LTD.,1.0,1.6515,2235.1,42.9,1.1994,6319.786,28.1669,2.9187,3417808.0
137,3335,2017,A V T NATURAL PRODUCTS LTD.,1.0,1.8498,2459.7,62.25,1.1478,9205.5678,37.5737,3.7426,4927570.0
138,3335,2018,A V T NATURAL PRODUCTS LTD.,1.0,1.3980000000000001,2523.0,60.25,1.0907,8733.4874,42.6232,3.4861,724808.0
139,3704,2014,PRISM INFORMATICS LTD.,1.0,-0.1255,475.9,25.5,1.1,603.6079,,1.3630000000000002,25054.0
140,3704,2015,PRISM INFORMATICS LTD.,1.0,0.6294,470.2,18.25,1.05,435.2462,39.8275,55.4277,29500.0
141,3704,2016,PRISM INFORMATICS LTD.,1.0,-1.0183,-13.2,7.41,1.0496,184.8237,,,600.0
142,3704,2017,PRISM INFORMATICS LTD.,1.0,-2.5860000000000003,-26.1,7.32,1.0487,182.5789,,,210.0
143,3737,2014,JAINEX AAMCOL LTD.,10.0,-2.4727,45.9,38.45,1.0491,57.5342,,1.2929,497.0
144,3737,2015,JAINEX AAMCOL LTD.,10.0,-2.0717,42.3,61.5,1.0499,92.0248,,2.1755,700.0
145,3737,2016,JAINEX AAMCOL LTD.,10.0,-2.2054,39.0,32.0,1.0306,47.8828,,1.2278,50.0
146,3737,2017,JAINEX AAMCOL LTD.,10.0,-1.4703,36.1,57.0,1.0499,85.2913,,2.4509,1265.0
147,3737,2018,JAINEX AAMCOL LTD.,10.0,2.2054,35.9,61.3,1.05,91.7255,23.8507,2.5622,1575.0
148,3889,2014,AAREY DRUGS & PHARMACEUTICALS LTD.,10.0,0.7969,355.2,22.76,1.2,364.8786,45.6098,1.0316,413356.0
149,3889,2015,AAREY DRUGS & PHARMACEUTICALS LTD.,10.0,0.7969,366.5,28.7,1.2,465.7667,42.9975,1.2778,415198.0
150,3889,2016,AAREY DRUGS & PHARMACEUTICALS LTD.,10.0,1.7179,422.3,57.0,1.2,951.7111,73.7761,2.5932,1541485.0
151,3889,2017,AAREY DRUGS & PHARMACEUTICALS LTD.,10.0,3.6993,604.5,143.95,1.1996,2419.2002,39.1769,4.5808,882644.0
152,3889,2018,AAREY DRUGS & PHARMACEUTICALS LTD.,10.0,3.3409,833.0,66.45,1.1992,1460.3735,23.6306,2.0762,2056364.0
153,3990,2014,AARTI DRUGS LTD.,10.0,62.7986,3096.3,887.9,1.1588,10415.1693,15.1015,3.6305,340387.0
154,3990,2015,AARTI DRUGS LTD.,10.0,62.7986,3528.7,1613.0,1.2,19773.2621,25.9935,6.5108,684418.0
155,3990,2016,AARTI DRUGS LTD.,10.0,28.3605,3877.5,686.45,1.0839,16382.8681,24.5358,4.2251,300923.0
156,3990,2017,AARTI DRUGS LTD.,10.0,29.8947,4155.6,650.0,1.0452,15299.5582,24.4871,3.742,84671.0
157,3990,2018,AARTI DRUGS LTD.,10.0,36.1418,4555.6,785.0,1.1278,18378.317,26.1799,4.1999,482724.0
158,3998,2014,AARTI INDUSTRIES LTD.,5.0,20.2999,9137.4,320.8,1.1465,27600.7401,16.1343,3.2568,1561307.0
159,3998,2015,AARTI INDUSTRIES LTD.,5.0,31.0539,10880.3,587.0,1.0938,47296.8154,21.5465,4.6039,855346.0
160,3998,2016,AARTI INDUSTRIES LTD.,5.0,36.8556,12522.0,765.0,1.071,63156.8503,20.8673,5.1181,321148.0
161,3998,2017,AARTI INDUSTRIES LTD.,5.0,38.0186,14223.4,1166.0,1.083,93247.6949,32.4667,6.5559,1088579.0
162,3998,2018,AARTI INDUSTRIES LTD.,5.0,42.0836,15782.4,1445.0,1.0544,116872.815,34.6035,7.4053,1724381.0
163,4024,2014,AARVEE DENIMS & EXPORTS LTD.,10.0,10.226,2693.8,59.1,1.1792,1344.2465,35.7619,0.525,222298.0
164,4024,2015,AARVEE DENIMS & EXPORTS LTD.,10.0,-2.3444,2596.1,80.0,1.1998,1764.1770000000001,,0.6835,490603.0
165,4024,2016,AARVEE DENIMS & EXPORTS LTD.,10.0,7.775,2774.4,111.0,1.2,2436.3002,17.3403,0.8781,1133481.0
166,4024,2017,AARVEE DENIMS & EXPORTS LTD.,10.0,1.6241,2691.1,99.25,1.1,2208.7402,96.5313,0.8278,2126744.0
167,4024,2018,AARVEE DENIMS & EXPORTS LTD.,10.0,2.6258,2722.5,58.0,1.0993,1286.77,20.8891,0.475,1064760.0
168,4030,2017,AARVI ENCON LTD.,10.0,2.2998,544.3,119.95,1.1909999999999998,1725.2928,50.7439,3.1697,674000.0
169,4030,2018,AARVI ENCON LTD.,10.0,3.5917,586.3,111.5,1.0591,1611.4560000000001,47.3958,2.9606,88000.0
170,4253,2014,ABAN OFFSHORE LTD.,2.0,59.6992,28862.5,940.0,1.196,47928.0036,42.4084,1.9336,10856823.0
171,4253,2015,ABAN OFFSHORE LTD.,2.0,54.1226,30874.0,529.9,1.1616,29316.9173,14.6429,1.0157,14410044.0
172,4253,2016,ABAN OFFSHORE LTD.,2.0,56.7649,40294.8,286.0,1.135,16286.8434,7.1632,0.4357,12958845.0
173,4253,2017,ABAN OFFSHORE LTD.,2.0,55.6358,41322.9,259.5,1.1363,14862.7295,12.92,0.3631,9838882.0
174,4253,2018,ABAN OFFSHORE LTD.,2.0,4.7357,41237.3,280.7,1.1519,15647.7431,97.2207,0.3795,28788250.0
175,4581,2014,ABHINAV CAPITAL SERVICES LTD.,10.0,3.6536,167.8,34.0,1.05,232.6666,16.619,1.4934,90005.0
176,4581,2015,ABHINAV CAPITAL SERVICES LTD.,10.0,3.6536,182.6,103.0,1.05,711.5027,49.4099,4.3704,160000.0
177,4581,2016,ABHINAV CAPITAL SERVICES LTD.,10.0,3.437,202.9,96.0,1.0144,664.7616,42.6129,3.6405,40808.0
178,4581,2017,ABHINAV CAPITAL SERVICES LTD.,10.0,4.6356,230.7,94.5,1.05,654.3747,24.3443,3.0049,7500.0
179,4581,2018,ABHINAV CAPITAL SERVICES LTD.,10.0,6.2386,268.6,75.0,1.0376,519.345,14.0309,2.0815,7479.0
180,4589,2015,ABHINAV LEASING & FINANCE LTD.,1.0,0.0,55.6,19.45,1.199,972.1110000000001,,17.7069,500.0
181,4589,2016,ABHINAV LEASING & FINANCE LTD.,1.0,0.038,56.8,23.7,1.1405,1054.578,1171.7533,18.8992,131919.0
182,4589,2017,ABHINAV LEASING & FINANCE LTD.,1.0,0.036000000000000004,56.8,23.7,1.0495,1129.548,627.5267,19.8864,416965.0
183,4589,2018,ABHINAV LEASING & FINANCE LTD.,1.0,0.008,,1.65,1.0486,82.46700000000001,196.1715,,5000.0
184,4671,2014,RADICO KHAITAN LTD.,2.0,6.07,8246.9,171.8,1.0848,21904.7937,33.0056,2.8069,3882223.0
185,4671,2015,RADICO KHAITAN LTD.,2.0,5.6375,8795.7,130.9,1.1039,17175.3046,24.7901,2.0081,3174118.0
186,4671,2016,RADICO KHAITAN LTD.,2.0,6.3951,10076.5,151.0,1.0924,19403.7039,22.8064,1.9256,6137091.0
187,4671,2017,RADICO KHAITAN LTD.,2.0,6.843,10842.1,309.6,1.1573,39888.5376,43.7806,3.6791,10428618.0
188,4671,2018,RADICO KHAITAN LTD.,2.0,10.8869,12007.5,500.0,1.1022,65820.4621,51.7157,5.5431,8968272.0
189,4680,2014,ABHISHEK CORPORATION LTD.,10.0,-45.7883,-1963.7,5.48,1.05,87.7264,,,51948.0
190,4680,2015,ABHISHEK CORPORATION LTD.,10.0,-53.7528,-2860.3,3.06,1.05,47.225,,,10558.0
191,4680,2016,ABHISHEK CORPORATION LTD.,10.0,-57.7445,-3792.6,3.23,1.0498,51.5472,,,5512.0
192,4680,2017,ABHISHEK CORPORATION LTD.,10.0,-61.4862,-4776.9,5.51,1.05,88.2066,,,33227.0
193,4680,2018,ABHISHEK CORPORATION LTD.,10.0,-78.6522,-6035.3,5.0,1.05,80.0423,,,8846.0
194,4709,2014,TRIDENT LTD.,10.0,6.3789,14164.4,34.3,1.1995,17059.9841,12.6473,1.2253,5174661.0
195,4709,2015,TRIDENT LTD.,10.0,4.078,16304.8,62.0,1.1988,30486.3452,18.0062,1.9441,6558879.0
196,4709,2016,TRIDENT LTD.,10.0,5.5183,18219.7,63.4,1.1313,30905.9821,14.2099,1.8084,35429696.0
197,4709,2017,TRIDENT LTD.,10.0,6.6935,20998.3,109.5,1.1207,54450.2863,16.974,2.6575,11058881.0
198,4709,2018,TRIDENT LTD.,10.0,5.9936,22004.7,93.4,1.1199,46653.4742,16.532,2.1471,8210193.0
199,4831,2014,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,10.0,0.7167,85.1,13.75,1.05,82.5,22.2973,0.9694,5000.0
200,4831,2015,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,10.0,0.5833,86.1,21.8,1.05,130.8,130.8,1.5209,2000.0
201,4831,2016,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,10.0,0.55,86.9,11.51,1.0497,69.06,57.55,0.7947,11501.0
202,4831,2017,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,10.0,0.4333,86.0,11.0,1.0498,66.0,110.0,0.7942,1800.0
203,4831,2018,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,10.0,0.3167,84.9,10.0,1.0492,58.2,30.6316,0.6855,5315.0
204,5003,2014,ACCEL FRONTLINE LTD.,10.0,0.7022,1252.2,130.4,1.1236,3696.4246,195.578,2.9519,367864.0
205,5003,2015,ACCEL FRONTLINE LTD.,10.0,2.5536,1489.5,124.8,1.1666,3577.3771,31.7591,3.9708,639347.0
206,5003,2016,ACCEL FRONTLINE LTD.,10.0,-10.0666,660.7,92.7,1.1997,2691.9614,,4.0744,400442.0
207,5003,2017,ACCEL FRONTLINE LTD.,10.0,17.3981,211.6,81.8,1.2,2302.0809,2.8624,7.0044,402522.0
